symbol,shares,cost_price,cost_currency,purchase_date,memo
5711.T,100,4500,JPY,2026-02-05,三菱マテリアル/特定
5727.T,100,1800,JPY,2026-02-06,邦チタニウム/特定
4751.T,100,1483,JPY,2026-02-09,サイバーエージェント/特定
5401.T,1000,422,JPY,,日本製鉄/特定
9101.T,600,3788,JPY,,郵船/特定
6419.T,100,2680,JPY,2024-02-07,マースグループHD/NISA成長
6417.T,100,1642,JPY,2024-06-17,SANKYO/NISA成長
8031.T,100,2900,JPY,2024-09-12,三井物産/NISA成長
1719.T,100,1136,JPY,2025-01-15,安藤ハザマ/NISA成長
1605.T,100,1900,JPY,2025-02-14,INPEX/NISA成長
3003.T,100,1381,JPY,2025-02-17,ヒューリック/NISA成長
9432.T,100,148,JPY,2025-02-26,NTT/NISA成長
5970.T,100,2019,JPY,2026-01-07,ジーテクト/NISA成長
314A.T,300,345,JPY,2026-01-15,iSゴールド/NISA成長
4023.T,100,4400,JPY,2026-01-20,クレハ/NISA成長
5471.T,100,1970,JPY,2026-01-21,大同特鋼/NISA成長
8604.T,100,1372,JPY,2026-02-02,野村/NISA成長
7203.T,100,3650,JPY,2026-02-12,トヨタ/NISA成長
5406.T,200,1780,JPY,,神戸鋼/NISA成長
8306.T,200,1534,JPY,,三菱UFJ/NISA成長
8593.T,100,710,JPY,2023-03-13,三菱HCキャピタル/旧NISA
7974.T,100,5520,JPY,2023-04-18,任天堂/旧NISA
9104.T,400,3063,JPY,,商船三井/旧NISA
AAPL,9,156.32,USD,,Apple/特定5+旧NISA4
BTI,40,40.27,USD,,BTI/特定1+NISA39
F,150,9.33,USD,,Ford/NISA成長
GOOGL,1,337.50,USD,,Alphabet/NISA成長
KO,17,70.10,USD,,Coca-Cola/特定2+NISA15
ORCL,1,263.80,USD,,Oracle/特定
OXM,10,43.80,USD,,Oxford Industries/NISA成長
PFE,40,25.78,USD,,Pfizer/NISA成長
SPYD,41,43.15,USD,,SPYD ETF/特定3+NISA38
T,69,24.04,USD,,AT&T/特定4+NISA65
XOM,10,119.41,USD,,Exxon Mobil/NISA成長
